file_id,series,archived_at,instance,problem_class,outcome,metric,seal_convention,content_hash,bitcoin_blocks,github_raw,codeberg_raw
EXP-0007-001,exploratory-2HHB-caspase,2026-07-24,2HHB_ca_cutoff8.5,Molecular simulation / allostery,not yet — classical diffusion ranks them as well or better,"percentil medio de residuos alostericos verdaderos en el mapa de propagacion (entre residuos distales, >6A del sitio activo); 100=top",v1-canonica,sha256:c1ba6b202f4bf51395f3c84565ce24a78ef28413c4d1e400afe8ad0ef52e5828,959579 959587 959609,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0007-001__20260724T2046Z__ctqw-vs-diffusion--allostery-2hhb.json,https://codeberg.org/RosettaQuantum/evidence/raw/branch/main/runs/2026/07/RosettaQ__RUN__EXP-0007-001__20260724T2046Z__ctqw-vs-diffusion--allostery-2hhb.json
EXP-0007-002,exploratory-2HHB-caspase,2026-07-24,2HHB_ca_cutoff7.5_t0.5-8.0,Molecular simulation / allostery,not yet,"percentil medio de residuos alostericos verdaderos en el mapa de propagacion (entre residuos distales, >6A del sitio activo); 100=top",v1-canonica,sha256:1947ad7b948aa87f8f03977b912b772fcfb2a43a6883dd6ac1355b8e27fa24bd,959579 959587 959609,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0007-002__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c7.5-t0.5_8.0.json,https://codeberg.org/RosettaQuantum/evidence/raw/branch/main/runs/2026/07/RosettaQ__RUN__EXP-0007-002__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c7.5-t0.5_8.0.json
EXP-0007-003,exploratory-2HHB-caspase,2026-07-24,2HHB_ca_cutoff8.0_t0.5-8.0,Molecular simulation / allostery,quantum win,"percentil medio de residuos alostericos verdaderos en el mapa de propagacion (entre residuos distales, >6A del sitio activo); 100=top",v1-canonica,sha256:cf8b897df2f55dd3620964416fc8a92734bd503a6f34f2a08ed9ab7b5874931d,959579 959587 959609,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0007-003__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c8.0-t0.5_8.0.json,https://codeberg.org/RosettaQuantum/evidence/raw/branch/main/runs/2026/07/RosettaQ__RUN__EXP-0007-003__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c8.0-t0.5_8.0.json
EXP-0007-004,exploratory-2HHB-caspase,2026-07-24,2HHB_ca_cutoff9.0_t0.5-8.0,Molecular simulation / allostery,quantum win,"percentil medio de residuos alostericos verdaderos en el mapa de propagacion (entre residuos distales, >6A del sitio activo); 100=top",v1-canonica,sha256:773b1071d6cbc2f97e4873972e4098dd9ce3b185bd60cf9c3f1925c44d407c33,959579 959587 959609,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0007-004__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c9.0-t0.5_8.0.json,https://codeberg.org/RosettaQuantum/evidence/raw/branch/main/runs/2026/07/RosettaQ__RUN__EXP-0007-004__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c9.0-t0.5_8.0.json
EXP-0007-005,exploratory-2HHB-caspase,2026-07-24,2HHB_ca_cutoff9.5_t0.5-8.0,Molecular simulation / allostery,not yet,"percentil medio de residuos alostericos verdaderos en el mapa de propagacion (entre residuos distales, >6A del sitio activo); 100=top",v1-canonica,sha256:2dfaf0b056152d00824412ddd5342fd40d640db079c8c84971b879d844dc216d,959579 959587 959609,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0007-005__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c9.5-t0.5_8.0.json,https://codeberg.org/RosettaQuantum/evidence/raw/branch/main/runs/2026/07/RosettaQ__RUN__EXP-0007-005__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c9.5-t0.5_8.0.json
EXP-0007-006,exploratory-2HHB-caspase,2026-07-24,2HHB_ca_cutoff10.0_t0.5-8.0,Molecular simulation / allostery,not yet,"percentil medio de residuos alostericos verdaderos en el mapa de propagacion (entre residuos distales, >6A del sitio activo); 100=top",v1-canonica,sha256:540540fa62f4249b0b000a892e93a337caf07949c890ed90a0d19b659439c419,959579 959587 959609,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0007-006__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c10.0-t0.5_8.0.json,https://codeberg.org/RosettaQuantum/evidence/raw/branch/main/runs/2026/07/RosettaQ__RUN__EXP-0007-006__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c10.0-t0.5_8.0.json
EXP-0007-007,exploratory-2HHB-caspase,2026-07-24,2HHB_ca_cutoff8.5_t0.5-4.0,Molecular simulation / allostery,quantum win,"percentil medio de residuos alostericos verdaderos en el mapa de propagacion (entre residuos distales, >6A del sitio activo); 100=top",v1-canonica,sha256:ef55980d2854dd4f9ff54a3b8f4607e11841dfba3cffe18410e6782e3e8b3ebe,959579 959587 959609,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0007-007__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c8.5-t0.5_4.0.json,https://codeberg.org/RosettaQuantum/evidence/raw/branch/main/runs/2026/07/RosettaQ__RUN__EXP-0007-007__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c8.5-t0.5_4.0.json
EXP-0007-008,exploratory-2HHB-caspase,2026-07-24,2HHB_ca_cutoff8.5_t0.5-14.0,Molecular simulation / allostery,not yet,"percentil medio de residuos alostericos verdaderos en el mapa de propagacion (entre residuos distales, >6A del sitio activo); 100=top",v1-canonica,sha256:85afbf66a72c1dacb856ebc21cc27f1b316b80e9bef11d2f473ec62e95ee6569,959579 959587 959609,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0007-008__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c8.5-t0.5_14.0.json,https://codeberg.org/RosettaQuantum/evidence/raw/branch/main/runs/2026/07/RosettaQ__RUN__EXP-0007-008__20260724T2154Z__ctqw-vs-diffusion--allostery-2hhb-c8.5-t0.5_14.0.json
EXP-0007-009,exploratory-2HHB-caspase,2026-07-24,1SHJ_ca_cutoff8.0,Molecular simulation / allostery,not yet,"percentil medio de residuos alostericos verdaderos en el mapa de propagacion (entre residuos distales, >6A del sitio activo); 100=top",v1-canonica,sha256:fca63822edd61e12207af6d2d1e9c1509f7c96dcaea6cb439abdd87c21b4d813,959579 959587 959609,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0007-009__20260724T2201Z__ctqw-vs-diffusion--allostery-1shj-c8.0.json,https://codeberg.org/RosettaQuantum/evidence/raw/branch/main/runs/2026/07/RosettaQ__RUN__EXP-0007-009__20260724T2201Z__ctqw-vs-diffusion--allostery-1shj-c8.0.json
EXP-0007-010,exploratory-2HHB-caspase,2026-07-24,1SHJ_ca_cutoff8.5,Molecular simulation / allostery,not yet,"percentil medio de residuos alostericos verdaderos en el mapa de propagacion (entre residuos distales, >6A del sitio activo); 100=top",v1-canonica,sha256:758add080519b5bf9ed484e36367634fafbd62bb22520232f42fe9c0cf7ef2b8,959579 959587 959609,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0007-010__20260724T2201Z__ctqw-vs-diffusion--allostery-1shj-c8.5.json,https://codeberg.org/RosettaQuantum/evidence/raw/branch/main/runs/2026/07/RosettaQ__RUN__EXP-0007-010__20260724T2201Z__ctqw-vs-diffusion--allostery-1shj-c8.5.json
