fecha,red,K,S,semilla,k_budget,reloj_s,motor,status,segundos,valor,valor_por_escenario,cota,brecha_pct,n_variables,n_restricciones,armado_s,corte,x,n_lineas,n_trafos,modelo_2a_etapa,sigma_carga,p_falla_gen,voll,c_ov,w_build
2026-08-14T19:03:47,case118,10,1,42,5,900.0,cpsat,FEASIBLE,900.05,396.6,396.6,395.7,0.2269,660,888,0.01,reloj,0101110100,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:03:47,case118,10,1,42,5,900.0,SCIP,OPTIMAL,0.1,397.676786,397.676786,397.676786,0.0,660,702,0.01,,0101110100,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:04:26,case118,14,1,42,5,900.0,SCIP,OPTIMAL,0.1,388.84981,388.84981,388.84981,0.0,672,722,0.01,,00011101001000,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:05:39,case118,20,1,42,5,900.0,SCIP,OPTIMAL,0.11,392.10553,392.10553,392.10553,0.0,690,752,0.01,,00011101001000000000,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:05:40,case118,10,5,42,5,900.0,SCIP,OPTIMAL,0.85,4218.291502,843.6583,4218.291502,0.0,3260,3506,0.04,,0101110100,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:05:41,case118,14,5,42,5,900.0,SCIP,OPTIMAL,1.01,4220.431596,844.086319,4220.431596,0.0,3304,3606,0.05,,01011101000000,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:05:43,case118,20,5,42,5,900.0,SCIP,OPTIMAL,1.39,4226.802857,845.360571,4226.802857,0.0,3370,3756,0.05,,00111101000000000000,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:05:54,case118,10,20,42,5,900.0,SCIP,OPTIMAL,11.25,22657.557379,1132.877869,22657.557379,0.0,13010,14021,0.17,,0101110100,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:06:05,case118,14,20,42,5,900.0,SCIP,OPTIMAL,10.48,22666.117755,1133.305888,22666.117755,0.0,13174,14421,0.2,,01011101000000,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:06:25,case118,20,20,42,5,900.0,SCIP,OPTIMAL,20.14,22691.602797,1134.58014,22691.602797,0.0,13420,15021,0.19,,00111101000000000000,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:07:14,case118,10,50,42,5,900.0,SCIP,OPTIMAL,48.61,52768.372236,1055.367445,52768.372236,0.0,32510,35051,0.45,,0101110100,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:08:07,case118,14,50,42,5,900.0,SCIP,OPTIMAL,52.45,52789.773177,1055.795464,52789.773177,0.0,32914,36051,0.47,,01011101000000,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:09:15,case118,20,50,42,5,900.0,SCIP,OPTIMAL,67.37,52853.485782,1057.069716,52853.485782,0.0,33520,37551,0.48,,00111101000000000000,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:11:32,case118,10,100,42,5,900.0,SCIP,OPTIMAL,135.71,104655.899148,1046.558991,104655.899148,0.0,65010,70101,0.94,,0101110100,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:14:19,case118,14,100,42,5,900.0,SCIP,OPTIMAL,165.69,104698.701029,1046.98701,104698.701029,0.0,65814,72101,0.93,,01011101000000,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:18:49,case118,20,100,42,5,900.0,SCIP,OPTIMAL,269.19,104826.126239,1048.261262,104826.126239,0.0,67020,75101,0.98,,00111101000000000000,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
2026-08-14T19:48:38,case118,10,250,42,5,900.0,SCIP,FEASIBLE,900.14,266782.721639,1067.130887,261627.312322,1.9324,162510,175251,2.31,reloj,0101110100,173,13,flujo DC con angulos (KVL) + redespacho + deslastre,0.15,0.15,20.0,1.0,10.0
